date,address,1st,4th,6th,5min,5min2,study,partial,site,lat,lng
2016-08-31,5350 W. Congress Pkwy. ,3.8,9.9,8,3.4,,TRUE,FALSE,2,41.8740819,-87.7594773
2016-12-14,5350 W. Congress Pkwy. ,3,4.2,3,1.8,,TRUE,FALSE,2,41.8740819,-87.7594773
2016-08-30,5350 W. Congress Pkwy. ,2.1,2.2,2.6,1.9,,TRUE,FALSE,3,41.8740819,-87.7594773
2016-12-01,5350 W. Congress Pkwy. ,2.5,2.6,2.6,1.9,,TRUE,FALSE,3,41.8740819,-87.7594773
2016-08-30,5350 W. Congress Pkwy. ,2.4,1.2,1.2,1,,TRUE,FALSE,4,41.8740819,-87.7594773
2016-12-02,5350 W. Congress Pkwy. ,4.1,3.4,3.4,,,TRUE,FALSE,4,41.8740819,-87.7594773
2016-08-31,5450 W. Congress Pkwy. ,3.1,4.6,4.3,2.3,,TRUE,FALSE,1,41.874069,-87.761425
2016-12-02,5450 W. Congress Pkwy. ,2.9,3.9,3.6,2.7,,TRUE,FALSE,1,41.874069,-87.761425
2016-08-30,5450 W. Congress Pkwy. ,3.6,4.3,3.9,2.1,,TRUE,FALSE,2,41.874069,-87.761425
2016-12-02,5450 W. Congress Pkwy. ,4.4,4.7,6,2.1,,TRUE,FALSE,2,41.874069,-87.761425
2017-06-16,5450 S. Seeley Ave.,0,0.3,0,0,,TRUE,FALSE,,41.7943465,-87.6758036
2016-08-29,5450 W. Congress Pkwy. ,0.5,0.5,0.5,0.3,,TRUE,FALSE,3,41.874069,-87.761425
2016-12-01,5450 W. Congress Pkwy. ,1.2,0.8,0.6,0.4,,TRUE,FALSE,3,41.874069,-87.761425
2017-02-01,5450 W. Congress Pkwy. ,0.9,0.9,0.4,0.3,0.4,TRUE,FALSE,3,41.874069,-87.761425
